"review_id","app_id","user_id","app_name","category","app_version","platform","device_model","country","review_date","rating","review_text","sentiment_label","review_length_words","helpful_votes","total_votes","verified_user","subscription_user","in_app_purchase","app_price","app_size_mb","download_count","daily_active_users","monthly_active_users","session_duration_min","crash_count","update_frequency_days","developer_reply","response_time_hours","retention_7d","retention_30d","churn_probability","language","os_version","network_type"
"2","1038","627383","HealthPlus","Gaming","3.0","iOS","iPhone 14","Canada","2020-12-12 01:54:59.689596891","3","It works fine for basic usage.","neutral","6","5","9","1","0","1","4.87","462.97","492815","144658","1947523","16.81","1","167","0","0","0.323","0.71","0.06","English","iOS 16","5G"
"7","1865","414048","HealthPlus","Social","2.5","Android","Samsung S23","USA","2022-12-14 22:16:06.917775154","1","Waste of time. Doesn't work properly.","negative","6","4","12","0","1","1","0.94","141.02","3007009","279704","1889886","3.65","0","127","0","0","0.596","0.434","0.16","English","Android 14","WiFi"
"13","1279","753425","HealthPlus","Education","2.5","iOS","iPhone 14","USA","2021-02-16 10:13:28.571094990","4","Amazing experience. Exceeded my expectations.","positive","5","5","16","0","1","1","33.34","473.73","2825465","46884","296458","61.61","2","126","0","0","0.764","0.739","0.893","English","iOS 16","4G"
"18","1584","476963","HealthPlus","Finance","1.2","Android","Samsung S23","India","2021-02-13 08:47:16.707658052","4","Highly recommend this app. Works perfectly.","positive","6","5","14","1","1","1","40.25","281.65","3738599","306320","501508","67.68","0","101","1","57.0","0.683","0.384","0.516","English","Android 13","5G"
"20","1503","213601","HealthPlus","Gaming","1.0","Android","Samsung S23","Germany","2022-07-16 17:39:55.422010183","3","Average app. Nothing special.","neutral","4","3","9","0","0","1","3.01","199.03","3938315","330895","1169527","73.63","2","50","0","0","0.78","0.42","0.202","German","Android 14","5G"
"21","1812","225132","HealthPlus","Health","2.5","Android","Pixel 8","Germany","2023-03-21 10:13:41.078407526","3","Fair performance.","neutral","2","2","9","1","1","0","45.5","376.24","520556","22487","257067","20.71","1","158","1","3.43","0.285","0.197","0.612","German","Android 13","5G"
"24","1215","495735","HealthPlus","Finance","2.0","iOS","iPhone 14","USA","2023-03-08 15:37:04.288385391","3","Fair performance.","neutral","2","3","11","1","0","1","16.55","435.16","3260474","190183","1977257","98.42","2","51","1","7.94","0.554","0.143","0.099","English","iOS 16","WiFi"
"28","1195","945741","HealthPlus","Social","2.0","Android","Samsung S23","Germany","2024-06-16 04:59:39.236390591","3","Okay experience overall.","neutral","3","8","11","0","1","1","27.18","267.8","1316187","155559","1264671","38.46","2","74","0","0","0.746","0.348","0.862","German","Android 14","WiFi"
"29","1502","143256","HealthPlus","Education","2.0","iOS","iPhone 14","India","2019-04-26 10:34:08.049233913","3","Average app. Nothing special.","neutral","4","6","14","0","0","1","36.48","124.5","2117577","439986","1213857","29.65","3","144","1","59.92","0.397","0.444","0.122","English","iOS 17","5G"
"31","1221","970243","HealthPlus","Finance","1.2","iOS","iPhone 14","Germany","2022-02-08 05:24:25.889048100","2","Very disappointing experience. Needs improvement.","negative","5","5","9","1","0","0","42.51","259.44","959406","24110","743557","91.46","1","138","1","68.12","0.666","0.7","0.123","German","iOS 16","WiFi"
